Elephant,Period,BufferDistance,behavior,PointCount,Proportion
E3,POST,50,Foraging,53,0.4953271028037383
E3,POST,50,Movement,1,0.009345794392523364
E3,POST,50,Resting,53,0.4953271028037383
E3,POST,100,Foraging,106,0.4796380090497738
E3,POST,100,Movement,1,0.004524886877828055
E3,POST,100,Resting,114,0.5158371040723982
E3,POST,200,Foraging,246,0.4308231173380035
E3,POST,200,Movement,2,0.0035026269702276708
E3,POST,200,Resting,323,0.5656742556917689
E3,PRE,50,Foraging,82,0.2019704433497537
E3,PRE,50,Movement,7,0.017241379310344827
E3,PRE,50,Resting,317,0.7807881773399015
E3,PRE,100,Foraging,199,0.25285895806861497
E3,PRE,100,Movement,10,0.012706480304955527
E3,PRE,100,Resting,578,0.7344345616264295
E3,PRE,200,Foraging,450,0.3063308373042886
E3,PRE,200,Movement,18,0.012253233492171545
E3,PRE,200,Resting,1001,0.6814159292035398
E4,POST,50,Foraging,53,0.424
E4,POST,50,Movement,12,0.096
E4,POST,50,Resting,60,0.48
E4,POST,100,Foraging,104,0.4928909952606635
E4,POST,100,Movement,18,0.08530805687203792
E4,POST,100,Resting,89,0.4218009478672986
E4,POST,200,Foraging,182,0.44717444717444715
E4,POST,200,Movement,38,0.09336609336609336
E4,POST,200,Resting,187,0.4594594594594595
E4,PRE,50,Foraging,86,0.5657894736842105
E4,PRE,50,Movement,5,0.03289473684210526
E4,PRE,50,Resting,61,0.40131578947368424
E4,PRE,100,Foraging,176,0.4345679012345679
E4,PRE,100,Movement,10,0.024691358024691357
E4,PRE,100,Resting,219,0.5407407407407407
E4,PRE,200,Foraging,385,0.48125
E4,PRE,200,Movement,29,0.03625
E4,PRE,200,Resting,386,0.4825
