Elephant,BufferDistance,behavior,PointCount,Proportion
E3,50,Foraging,53,0.4953271028037383
E3,50,Movement,1,0.009345794392523364
E3,50,Resting,53,0.4953271028037383
E3,100,Foraging,106,0.4796380090497738
E3,100,Movement,1,0.004524886877828055
E3,100,Resting,114,0.5158371040723982
E3,200,Foraging,246,0.4308231173380035
E3,200,Movement,2,0.0035026269702276708
E3,200,Resting,323,0.5656742556917689
E4,50,Foraging,53,0.424
E4,50,Movement,12,0.096
E4,50,Resting,60,0.48
E4,100,Foraging,104,0.4928909952606635
E4,100,Movement,18,0.08530805687203792
E4,100,Resting,89,0.4218009478672986
E4,200,Foraging,182,0.44717444717444715
E4,200,Movement,38,0.09336609336609336
E4,200,Resting,187,0.4594594594594595
