Elephant,Stage,Behavior,AUC
E1,pre,Sleeping,0.7866497791337238
E1,pre,Resting,0.7327155241028496
E1,pre,Foraging,0.7603935238097097
E1,pre,Movement,0.7712539327025065
E2,pre,Sleeping,0.8011215698577696
E2,pre,Resting,0.7824607036395766
E2,pre,Foraging,0.8383544421714897
E2,pre,Movement,0.8041183978009032
E3,pre,Sleeping,0.8087741473745588
E3,pre,Resting,0.7451218931985625
E3,pre,Foraging,0.7563398939768844
E3,pre,Movement,0.7569102873241098
E4,pre,Sleeping,0.7920872511270917
E4,pre,Resting,0.7453827381283696
E4,pre,Foraging,0.7546585859192726
E4,pre,Movement,0.7262145728881089
E5,pre,Sleeping,0.8930862242534392
E5,pre,Resting,0.8803813198675098
E5,pre,Foraging,0.9076320901212435
E5,pre,Movement,0.9063051994819817
E6,pre,Sleeping,0.8856085868444453
E6,pre,Resting,0.8853704509555619
E6,pre,Foraging,0.9093707398307017
E6,pre,Movement,0.8711312573478595
E3,interim,Sleeping,0.8140889818454095
E3,interim,Resting,0.759124561309231
E3,interim,Foraging,0.7945082330422448
E3,interim,Movement,0.8208053047343902
E4,interim,Sleeping,0.7533836500382194
E4,interim,Resting,0.7218757173956065
E4,interim,Foraging,0.770760386827008
E4,interim,Movement,0.7840166957522984
E5,interim,Sleeping,0.9679941807601382
E5,interim,Resting,0.8953116173978535
E5,interim,Foraging,0.9129582674947023
E5,interim,Movement,0.8795097132284921
E6,interim,Sleeping,1
E6,interim,Resting,0.9841678210963783
E6,interim,Foraging,0.982170245398773
E3,post,Sleeping,0.8054784821273766
E3,post,Resting,0.7538398393258211
E3,post,Foraging,0.8036811589941755
E3,post,Movement,0.6774094607219786
E4,post,Sleeping,0.7934359838337967
E4,post,Resting,0.7697383030690581
E4,post,Foraging,0.7934770598496869
E4,post,Movement,0.7305783631379931
E5,post,Sleeping,0.90160956675344
E5,post,Resting,0.9177824971481817
E5,post,Foraging,0.8962729435047025
E5,post,Movement,0.8363495952048465
